"","name","length","score","pvalue"
"1","Bacteria_NZ_CP030047_1_length_1524315_cov_32.542514",1524315,0.0179051554343969,0.635459616783895
"2","Bacteria_NZ_CP030047_2_length_1237435_cov_32.733700",1237435,0.00965197649652887,0.728959495512976
"3","Bacteria_NZ_CP030047_3_length_951071_cov_32.735634",951071,0.0123619616385263,0.693184574339074
"4","Bacteria_NZ_CP030047_4_length_843164_cov_32.007915",843164,0.0135165921603531,0.679238418627213
"5","Bacteria_NZ_CP030047_5_length_717793_cov_33.074667",717793,0.0115780916712811,0.70325006063546
"6","Bacteria_NZ_CP030047_6_length_516595_cov_31.958572",516595,0.00877083418691392,0.744603444094106
"7","Bacteria_NZ_CP030047_7_length_445074_cov_32.355908",445074,0.0101575885586631,0.723017220470531
"8","Bacteria_NZ_CP030047_8_length_363389_cov_32.173386",363389,0.0103659017769639,0.720349260247393
"9","Bacteria_NZ_CP030047_9_length_352219_cov_32.742833",352219,0.0124981366975,0.691850594227504
"10","Bacteria_NZ_CP030047_10_length_342938_cov_32.194130",342938,0.00794056699586731,0.759155954402134
"11","Bacteria_NZ_CP030047_11_length_286447_cov_32.653475",286447,0.0196779518043092,0.617875333495028
"12","Bacteria_NZ_CP030047_12_length_261759_cov_32.324344",261759,0.0707638640657061,0.394009216589862
"13","Bacteria_NZ_CP030047_13_length_249429_cov_33.638242",249429,0.0115374280735068,0.703856415231627
"14","Bacteria_NZ_CP030047_14_length_215781_cov_31.959898",215781,0.0314961792405018,0.535532379335435
"15","Bacteria_NZ_CP030047_15_length_185499_cov_33.012311",185499,0.0375695595410761,0.501333980111569
"16","Bacteria_NZ_CP030047_16_length_178605_cov_32.157424",178605,0.00841656760555718,0.749696822701916
"17","Bacteria_NZ_CP030047_17_length_136781_cov_32.610330",136781,0.0388775298133827,0.49490662139219
"18","Bacteria_NZ_CP030047_18_length_119584_cov_32.746313",119584,0.0468050533738455,0.46361872422993
"19","Bacteria_NZ_CP030047_19_length_106411_cov_31.591024",106411,0.00952654288599871,0.731869997574582
"20","Bacteria_NZ_CP030047_20_length_91941_cov_31.176719",91941,0.0648748150844101,0.406257579432452
"21","Bacteria_NZ_CP030047_21_length_51723_cov_32.612720",51723,0.00902445821492753,0.740722774678632
"22","Bacteria_NZ_CP030047_22_length_47525_cov_32.667601",47525,0.00902542331257781,0.740722774678632
"23","Bacteria_NZ_CP030047_23_length_3179_cov_65.352433",3179,0.000641665971155959,0.958767887460587
"24","Bacteria_NZ_CP030047_24_length_2751_cov_97.200668",2751,0.165767617076773,0.427871008889066
"25","Bacteria_NZ_CP030047_25_length_1666_cov_64.721291",1666,0.178539635271195,0.409694263961414
"26","Bacteria_NZ_CP040094_1_length_247159_cov_17.324879",247159,0.0433396683827885,0.476837254426389
"27","Bacteria_NZ_CP040094_2_length_215264_cov_14.529978",215264,0.0381083624826718,0.498059665292263
"28","Bacteria_NZ_CP040094_3_length_170062_cov_16.475022",170062,0.046946499646391,0.463254911472229
"29","Bacteria_NZ_CP040094_4_length_164044_cov_13.790157",164044,0.101173224796162,0.333131215134611
"30","Bacteria_NZ_CP040094_5_length_162226_cov_13.662128",162226,0.0631554736404544,0.410138248847926
"31","Bacteria_NZ_CP040094_6_length_157949_cov_13.594107",157949,0.0713636075614635,0.392068881882125
"32","Bacteria_NZ_CP040094_7_length_148978_cov_13.955252",148978,0.08672185358136,0.360538442881397
"33","Bacteria_NZ_CP040094_8_length_148875_cov_14.140680",148875,0.129499454820592,0.292262915352898
"34","Bacteria_NZ_CP040094_9_length_139129_cov_13.670348",139129,0.0368704901042016,0.506306087800146
"35","Bacteria_NZ_CP040094_10_length_137210_cov_13.704903",137210,0.0531149062930323,0.442760126121756
"36","Bacteria_NZ_CP040094_11_length_128900_cov_17.598293",128900,0.0917337193550861,0.350472956585011
"37","Bacteria_NZ_CP040094_12_length_128041_cov_13.788782",128041,0.0844393057024501,0.365268008731506
"38","Bacteria_NZ_CP040094_13_length_126962_cov_13.739707",126962,0.0977334047708985,0.339316032015523
"39","Bacteria_NZ_CP040094_14_length_126871_cov_13.912133",126871,0.091359518007672,0.350836769342712
"40","Bacteria_NZ_CP040094_15_length_120484_cov_19.006826",120484,0.0374055536399694,0.502304147465438
"41","Bacteria_NZ_CP040094_16_length_115018_cov_13.188713",115018,0.105560685058453,0.326218772738297
